date,1. open,2. high,3. low,4. close,5. volume
2025-03-28 13:33:00,377.67,377.77,377.4,377.4,45602.0
2025-03-28 13:32:00,377.595,377.94,377.59,377.71,102908.0
2025-03-28 13:31:00,377.56,377.87,377.53,377.6,105562.0
2025-03-28 13:30:00,377.64,377.7,377.5,377.56,70254.0
2025-03-28 13:29:00,377.78,377.78,377.595,377.64,76478.0
2025-03-28 13:28:00,377.8,377.81,377.61,377.775,41520.0
2025-03-28 13:27:00,377.94,377.97,377.78,377.8,39485.0
2025-03-28 13:26:00,378.0918,378.15,377.87,377.9,33839.0
2025-03-28 13:25:00,377.93,378.1034,377.9,378.055,39597.0
2025-03-28 13:24:00,378.23,378.34,377.94,377.94,90222.0
2025-03-28 13:23:00,378.14,378.22,378.1301,378.1875,46283.0
2025-03-28 13:22:00,378.288,378.288,378.09,378.13,17262.0
2025-03-28 13:21:00,378.43,378.5,378.22,378.25,32189.0
2025-03-28 13:20:00,378.645,378.7,378.43,378.465,52162.0
2025-03-28 13:19:00,378.845,378.89,378.52,378.61,27424.0
2025-03-28 13:18:00,378.815,379.07,378.51,378.845,86159.0
2025-03-28 13:17:00,378.695,379.01,378.61,378.833,100371.0
2025-03-28 13:16:00,378.4,378.74,378.3941,378.715,46550.0
2025-03-28 13:15:00,378.69,378.85,378.3,378.37,52834.0
2025-03-28 13:14:00,378.84,378.86,378.6,378.68,29951.0
2025-03-28 13:13:00,378.92,378.92,378.645,378.85,26581.0
2025-03-28 13:12:00,378.81,378.94,378.77,378.9,25012.0
2025-03-28 13:11:00,378.9,378.94,378.805,378.805,16271.0
2025-03-28 13:10:00,378.825,378.9952,378.79,378.97,17830.0
2025-03-28 13:09:00,378.91,379.0,378.83,378.84,13588.0
2025-03-28 13:08:00,378.95,379.01,378.82,378.94,24315.0
2025-03-28 13:07:00,379.0,379.03,378.8698,378.9659,24608.0
2025-03-28 13:06:00,378.73,379.0,378.6612,378.9,36651.0
2025-03-28 13:05:00,379.02,379.04,378.725,378.725,32627.0
2025-03-28 13:04:00,378.955,379.12,378.93,379.08,46078.0
2025-03-28 13:03:00,378.978,379.12,378.83,378.93,80962.0
2025-03-28 13:02:00,378.95,379.01,378.8802,378.9815,28786.0
2025-03-28 13:01:00,379.19,379.2399,378.9,378.955,58034.0
2025-03-28 13:00:00,379.435,379.435,379.0201,379.16,77118.0
2025-03-28 12:59:00,379.45,379.62,379.37,379.435,34282.0
2025-03-28 12:58:00,379.62,379.63,379.35,379.45,39934.0
2025-03-28 12:57:00,379.82,379.88,379.63,379.6799,191485.0
2025-03-28 12:56:00,380.27,380.27,379.79,379.805,148328.0
2025-03-28 12:55:00,380.415,380.415,380.18,380.26,29186.0
2025-03-28 12:54:00,380.26,380.45,380.255,380.415,39527.0
2025-03-28 12:53:00,380.57,380.57,380.2301,380.2301,41694.0
2025-03-28 12:52:00,380.695,380.71,380.51,380.57,18535.0
2025-03-28 12:51:00,380.8,380.8234,380.64,380.67,30638.0
2025-03-28 12:50:00,380.7805,380.95,380.73,380.82,32786.0
2025-03-28 12:49:00,380.84,380.84,380.68,380.8,12366.0
2025-03-28 12:48:00,380.67,380.99,380.65,380.82,30490.0
2025-03-28 12:47:00,380.65,380.725,380.625,380.6899,17445.0
2025-03-28 12:46:00,380.52,380.7262,380.45,380.63,37404.0
2025-03-28 12:45:00,380.38,380.62,380.36,380.5,29721.0
2025-03-28 12:44:00,380.54,380.55,380.34,380.39,38686.0
2025-03-28 12:43:00,380.5,380.56,380.415,380.52,26795.0
2025-03-28 12:42:00,380.245,380.6425,380.24,380.53,45875.0
2025-03-28 12:41:00,380.39,380.4073,380.15,380.24,41010.0
2025-03-28 12:40:00,380.57,380.58,380.35,380.3601,39529.0
2025-03-28 12:39:00,380.68,380.69,380.54,380.59,25782.0
2025-03-28 12:38:00,380.945,380.95,380.67,380.67,32543.0
2025-03-28 12:37:00,381.02,381.05,380.935,380.94,27437.0
2025-03-28 12:36:00,380.9264,381.06,380.85,381.015,40756.0
2025-03-28 12:35:00,381.08,381.11,380.9,380.9,30436.0
2025-03-28 12:34:00,381.0,381.1135,380.9234,381.1135,23316.0
2025-03-28 12:33:00,381.03,381.03,380.9,380.995,18144.0
2025-03-28 12:32:00,380.845,381.06,380.81,381.01,19621.0
2025-03-28 12:31:00,380.89,380.9151,380.65,380.83,31570.0
2025-03-28 12:30:00,380.615,380.97,380.57,380.915,28458.0
2025-03-28 12:29:00,380.67,380.808,380.5807,380.6648,15734.0
2025-03-28 12:28:00,380.87,380.88,380.67,380.705,22393.0
2025-03-28 12:27:00,380.705,380.85,380.65,380.85,20113.0
2025-03-28 12:26:00,380.71,380.8,380.55,380.7,37423.0
2025-03-28 12:25:00,380.697,380.7855,380.68,380.71,32188.0
2025-03-28 12:24:00,380.79,380.8115,380.65,380.7362,22493.0
2025-03-28 12:23:00,380.7273,380.795,380.62,380.75,29262.0
2025-03-28 12:22:00,380.71,380.865,380.59,380.73,26354.0
2025-03-28 12:21:00,380.82,380.84,380.65,380.69,29477.0
2025-03-28 12:20:00,380.82,380.95,380.72,380.85,33650.0
2025-03-28 12:19:00,380.865,380.91,380.77,380.84,20376.0
2025-03-28 12:18:00,380.88,380.95,380.8,380.82,21302.0
